School,District,FRPL,AfricanAmerican,Latino,ELL,Seniors,RigorousCourses,GradRate,FRPLGradRate
All,,0.0000,0.1384,0.2130,0.1590,0,0.6592,0.7451,0.0000
Auburn School District,All,0.0000,0.0681,0.2461,0.1395,0,0.5859,0.7834,0.0000
Auburn Mountainview High School,Auburn School District,0.3773,0.0881,0.1514,0.0496,334,0.5714,0.9086,0.8581
Auburn Riverside High School,Auburn School District,0.3576,0.0494,0.2209,0.0405,356,0.6510,0.9022,0.8071
Auburn Senior High School,Auburn School District,0.5219,0.0672,0.2298,0.0446,322,0.5963,0.7523,0.6852
West Auburn Senior High School,Auburn School District,0.6760,0.0557,0.3031,0.0488,147,0.0750,0.1570,0.1458
Kent School District,All,0.0000,0.1219,0.2086,0.1782,0,0.6022,0.7858,0.0000
Kent Meridian High School,Kent School District,0.6739,0.1830,0.2587,0.1616,454,0.5324,0.6986,0.6469
Kent Mountain View Academy,Kent School District,0.3324,0.0991,0.1224,0.0175,45,0.1250,0.6200,0.5429
Kent Phoenix Academy,Kent School District,0.6309,0.1040,0.2282,0.0403,90,0.1930,0.3333,0.2267
Kentlake High School,Kent School District,0.3584,0.0666,0.1527,0.0535,352,0.5926,0.8412,0.7566
Kentridge High School,Kent School District,0.3012,0.0960,0.1097,0.0320,486,0.6614,0.9006,0.8514
Kentwood High School,Kent School District,0.3461,0.0865,0.1551,0.0597,461,0.7003,0.8365,0.7725
Highline Public Schools,All,0.0000,0.1147,0.3693,0.2162,0,0.6771,0.6286,0.0000
Academy of Citizenship and Empowerment,Highline Public Schools,0.7476,0.1929,0.3833,0.2310,106,0.0933,0.6421,0.6173
Arts & Academics Academy,Highline Public Schools,0.7331,0.0940,0.5263,0.1429,54,0.5333,0.5882,0.5714
Aviation High School,Highline Public Schools,0.1593,0.0515,0.1007,0.0047,95,0.9785,0.9794,0.9167
Big Picture School,Highline Public Schools,0.5904,0.0851,0.3138,0.0372,32,0.0000,0.6071,0.5455
Global Connections High School,Highline Public Schools,0.7716,0.1638,0.3728,0.2371,101,0.8955,0.6552,0.6234
Health Sciences & Human Services,Highline Public Schools,0.8074,0.1425,0.3166,0.1003,95,0.8841,0.8171,0.8028
Highline High School,Highline Public Schools,0.6179,0.0944,0.3743,0.0812,298,0.6250,0.6372,0.5901
Mount Rainier High School,Highline Public Schools,0.4668,0.0977,0.2588,0.0414,348,0.9130,0.6537,0.5610
New Start,Highline Public Schools,0.8730,0.0873,0.5794,0.0873,59,0.1143,0.2462,0.2581
Odyssey - The Essential School,Highline Public Schools,0.6386,0.1566,0.4940,0.1205,31,0.0435,0.6563,0.6452
"Technology, Engineering & Communications",Highline Public Schools,0.6738,0.0780,0.3262,0.0851,68,0.8036,0.7879,0.7925
Federal Way Public Schools,All,0.0000,0.1131,0.2622,0.1627,0,0.6952,0.7619,0.0000
