School,District,Value
All,,11178
Auburn School District,All,1159
Auburn Mountainview High School,Auburn School District,334
Auburn Riverside High School,Auburn School District,356
Auburn Senior High School,Auburn School District,322
West Auburn Senior High School,Auburn School District,147
Federal Way Public Schools,All,1875
Truman High School,Federal Way Public Schools,62
Decatur High School,Federal Way Public Schools,327
Employment Transition Program,Federal Way Public Schools,37
Federal Way High School,Federal Way Public Schools,430
Thomas Jefferson High School,Federal Way Public Schools,438
Todd Beamer High School,Federal Way Public Schools,464
Highline Public Schools,All,1314
Academy of Citizenship and Empowerment,Highline Public Schools,106
Arts & Academics Academy,Highline Public Schools,54
Aviation High School,Highline Public Schools,95
Big Picture School,Highline Public Schools,32
Global Connections High School,Highline Public Schools,101
Health Sciences & Human Services,Highline Public Schools,95
Highline High School,Highline Public Schools,298
Mount Rainier High School,Highline Public Schools,348
New Start,Highline Public Schools,59
Odyssey - The Essential School,Highline Public Schools,31
"Technology, Engineering, & Communications",Highline Public Schools,68
Kent School District,All,1888
Kent Meridian High School,Kent School District,454
Kent Mountain View Academy,Kent School District,45
Kent Phoenix Academy,Kent School District,90
Kentlake High School,Kent School District,352
Kentridge High School,Kent School District,486
Kentwood High School,Kent School District,461
Renton School District,All,1201
Hazen High School,Renton School District,321
Lindbergh High School,Renton School District,308
Renton High School,Renton School District,337
Seattle Public Schools,All,3515
Chief Sealth International High School,Seattle Public Schools,309
Cleveland High School,Seattle Public Schools,194
Franklin High School,Seattle Public Schools,367
Garfield High School,Seattle Public Schools,471
Rainier Beach High School,Seattle Public Schools,130
South Lake High School,Seattle Public Schools,34
Tukwila School District,All,226
Foster High School,Tukwila School District,226
